From	Entry	GeneID	Organism	Entry Name	Interacts with
PSMC6	P62333	5706;	Homo sapiens (Human)	PRS10_HUMAN	Q13895; Q8TAB5; Q8IYE0-2; Q16543; P46108; P46109; Q6BCY4; P22607; Q14957; P52655; P04792; P62191; P17980; P43686; P62195; P62333; O00233; O00560; O43304; Q969G3; Q7KZS0; O76024; P59595
CENPJ	Q9HC77	55835;	Homo sapiens (Human)	CENPJ_HUMAN	Q9P287; Q9HC77; Q66GS9; Q96RK0; Q5VTD9; Q9NYY3; Q15468; O95271; P61981
COX10	Q12887	1352;	Homo sapiens (Human)	COX10_HUMAN	
FTSJ3	Q8IY81	117246;	Homo sapiens (Human)	SPB1_HUMAN	P19525; P10412; Q9Y6K5; Q16385-2
DDX56	Q9NY93	54606;	Homo sapiens (Human)	DDX56_HUMAN	P38919
TNIK	Q9UKE5	23043;	Homo sapiens (Human)	TNIK_HUMAN	P35222; Q9NRI5; O14920; O43318; Q9NYJ8; Q9NQB0; Q12933; Q9Y4K3; P03230; Q6F6B3
ZMYND10	O75800	51364;	Homo sapiens (Human)	ZMY10_HUMAN	P51861; A8MQ03; Q7L2H7; B7ZLH0; Q96FT9; Q96FT9-2; Q5JR59-3; Q86Y26; P57052; Q9Y5W9; Q9Y3Q8; Q99593; P15884-3; Q96G27
B3GNT9	Q6UX72	84752;	Homo sapiens (Human)	B3GN9_HUMAN	
USP35	Q9P2H5	57558;	Homo sapiens (Human)	UBP35_HUMAN	
SEC22C	Q9BRL7	9117;	Homo sapiens (Human)	SC22C_HUMAN	Q969F0; P48165; Q9H400; Q8IWY8-3
NLE1	Q9NVX2	54475;	Homo sapiens (Human)	NLE1_HUMAN	
FAHD1	Q6P587	81889;	Homo sapiens (Human)	FAHD1_HUMAN	Q12982; P04792; P07196; P60891; Q9Y3C5; O76024
CHCHD7	Q9BUK0	79145;	Homo sapiens (Human)	CHCH7_HUMAN	
TMBIM1	Q969X1	64114;	Homo sapiens (Human)	LFG3_HUMAN	Q8NCR0; Q13323; P20138; Q6P531; Q9HC23; Q7Z5B4-5; Q14973; Q9NWH2
POLR2E	P19388	5434;	Homo sapiens (Human)	RPAB1_HUMAN	Q86V38; P02489; Q01658; Q14204; P00488; P22607; Q14957; Q00403; Q9Y5Q9; Q96PC2; Q92876; Q9Y2X8; Q9UMX0; O94763; Q9Y649
COX17	Q14061	10063;	Homo sapiens (Human)	COX17_HUMAN	Q8N4Q1-1; Q9BW62; P60410; O75880; Q7Z699
ZMYM2	Q9UBW7	7750;	Homo sapiens (Human)	ZMYM2_HUMAN	Q96IK5; Q9UHL9; Q9UKT9; P22234
TRAF2	Q12933	7186;	Homo sapiens (Human)	TRAF2_HUMAN	Q9NRN7; Q9UHB7; Q9UHB7-2; O95994; C9JRZ8-2; Q9Y2J4-4; X5D778; Q96IX9; Q9UKG1; P29972; Q15052; Q8N5N6; Q8N9N2; Q8N9N2-2; Q7L5A3; P54253; O15169; Q8TBE0; B4DE54; Q8N9N5; Q8N9N5-2; Q8N9N5-7; Q9UIF8; O95999; P41182; Q9BXY8; Q13490; Q13489; Q8IYS8; Q13895; Q8WYQ4-2; Q53TS8; O75808; Q8NEC5; Q9HC52; E9PSE9; Q9NVL8; Q8TD31-3; Q8IV13; P25942; Q86Y33; Q86Y33-5; Q16543; Q99618; Q07002; P46527; Q8IYX8-2; Q9Y6H1; P51800-3; Q02930-3; Q49AN0; P53672; P49711; Q2TBE0; Q6BCY4; Q6BCY4-2; Q8WTU0; P26196; Q08495; O60941; O60941-5; Q92997; Q13627; Q96JC9; Q9HAK2; Q8WWZ3; A0A0S2Z3V1; Q12805; Q5JVL4; P00533; Q08426; Q9H0I2; A0A0A0MR80; O75460; A0A0S2Z3N6; Q01844; Q8N2X6; O95990-4; Q96EK7; Q9H5Z6-2; Q3B820; Q96MY7; Q9Y247; Q86YD7; Q8IZU1; O95363; Q9NVF7; Q9BRP7; Q4VC44; Q53EP0-3; O15353; Q06547; Q8NHY3; O95995; P28676; P55040; Q9H8Y8; O95872; Q92917; Q4V328; Q14687; Q2KHT4; P09211; O43708; Q6B0K9; A0A024R8L2; Q5T8I9; P49639; P09067; Q96MM6; P42858; P12268; Q9C086; Q96PC2; Q8NA54; Q6GPH6-2; Q63ZY3; Q5T5P2-6; Q9BVG8; Q9BVG8-5; P57682; Q96BZ8; Q86X59; Q8IXW0; Q8TBB1; Q17RB8; Q496Y0; Q96S90; O75367; Q99558; Q99683; Q7Z434; Q8N6R0; P55081; Q8IVT4; Q8IVT2; Q13064; Q9UBU8-2; Q6PF18; P00540; Q9Y3D2; Q15742; Q8N6N6; O76041; Q14511-2; Q9HC98-4; Q16649; Q8NI38; Q5HYW2; Q9GZQ4; Q86UR1-2; Q16656; Q16656-4; Q6X4W1-2; Q9BRJ7; Q8N3R9; Q9HBE1-4; P35227; Q86SE9; Q17RL8; Q96JS3; O75928-2; Q4G0R1; Q13526; Q16512; Q9BUI4; Q96HA1-2; O60437; Q6NYC8; Q5T8A7; Q7Z5V6-2; O43741; Q9H875; Q99633; P20618; O00233; Q9GZU8; P47897; Q2TAL8; P54725; Q9Y4B4; Q8WWW0; Q96IZ5; Q9P2K3; P48380; Q13671; Q13546; O43353; Q0D2K3; P57055; Q9NTX7; Q9NTX7-2; P78317; Q9UHP6; Q96NU1; Q9BWG6; Q9H788; Q92529; P48751; Q9H0W8; O95863; Q9BV90; Q9UN79; P41225; P35711-4; Q9NZD8; P63165; G2XKQ0; Q9BSW7; Q5T7P8-2; Q92844; Q9H2K8; Q9UHD2; Q9Y4C2-2; O15273; Q15560; Q8N8B7-2; P56279; Q9BXF9; Q9BT49; Q96CV8; Q96CG3; Q8IY51; Q08117; P21580; Q9Y6Q6; Q9Y6Q6-2; Q9NP84; Q92956; P20333; Q9UKE5; Q15628; Q13077; Q12933; O00463; Q9Y4K3; Q14142; Q8IWZ5; Q86XT4; Q12815; Q86TN4-2; Q3SY00; Q9NRE2; Q63HK5; Q9Y5U2; Q5W5X9-3; P10599; Q7KZS0; Q5T124; Q5T124-6; P22415; O75604; Q5TAP6; Q9BRU9; Q14119; Q5GFL6; Q92558; P07947; Q05516; O43167; P24278; Q6ZSB9; Q53FD0; Q53FD0-2; Q6FIF0; Q9BRR0; Q96NC0; Q9UJ78-2; P15622-3; P13682; Q86VK4; Q86VK4-3; Q8TAU3; Q7Z4V0; Q96MN9; Q32MK9; Q6NX49; Q7Z3I7; Q6ZN55-2; Q5T619; Q8N720; Q6ZS27-3; A0A0S2Z6P0; Q6NX45; Q3MJ62; Q9NX65; Q96MP5; Q8IYH5; A0A384ME25; B2R8Y4; O08736; P09022; Q62925; P07174; P89055; PRO_0000449631 [P0DTD1]; P20334; P70191; P88961; Q92956
